"10:54PM April 10, 2020",Rc_FIVE,mati1212,Maties_Gamer,JanneAhonen69,myjniak,silVersilVa89PL,Xerdzio,Wajsia,Kideu98
Crash Cove,1:17.97,1:18.11,1:18.74,1:18.87,1:18.670,1:18.54,1:18.71,1:19.012,1:19.513
Mystery Caves,1:54.583,1:54.41,1:55.78,1:55.38,1:57.310,1:56.08,1:56.31,1:57.880,1:56.518
Sewer Speedway,1:43.902,1:44.33,1:45.40,1:45.97,1:45.500,1:44.67,1:45.73,1:47.241,1:47.540
Roo's Tubes,1:13.970,1:14.470,1:14.50,1:14.54,1:15.270,1:15.200,1:15.44,1:15.039,1:15.304
Slide Coliseum,1:35.190,1:35.56,1:35.46,1:38.24,1:39.160,1:37.56,1:36.06,1:38.830,1:38.797
Turbo Track,1:28.250,1:29.824,1:30.650,1:33.36,1:33.050,1:31.55,1:33.19,1:35.360,1:33.893
Coco Park,1:15.041,1:16.109,1:16.27,1:17.77,1:16.410,1:16.376,1:15.97,1:15.275,1:17.977
Tiger Temple,1:25.917,1:25.785,1:29.48,1:27.15,1:28.420,1:28.48,1:28.32,1:29.255,1:30.421
Papu's Pyramid,1:23.083,1:25.82,1:26.855,1:24.78,1:24.550,1:26.250,1:25.95,1:27.357,1:25.918
Dingo Canyon,1:26.253,1:26.421,1:28.256,1:28.650,1:28.750,1:29.190,1:28.52,1:27.688,1:31.957
Polar Pass,1:59.350,1:59.68,2:00.61,1:59.720,1:59.650,2:02.35,2:02.57,2:01.120,2:07.092
Tiny Arena,2:52.838,2:53.240,2:58.37,2:53.300,2:55.000,2:56.51,2:58.61,2:57.478,2:58.375
Dragon Mines,1:15.742,1:16.009,1:18.57,1:17.91,1:16.770,1:17.97,1:17.62,1:16.440,1:23.850
Blizzard Bluff,1:09.503,1:10.571,1:10.337,1:10.87,1:10.700,1:09.902,1:10.37,1:11.671,1:08.835
Hot Air Skyway,2:05.325,2:10.498,2:05.726,2:08.56,2:07.760,2:08.690,2:11.61,2:10.360,2:07.191
Cortex Castle,1:48.375,1:51.980,1:49.610,1:51.510,1:51.010,1:50.340,1:52.640,1:52.670,1:54.582
N.Gin Labs,2:08.49,2:13.002,2:10.46,2:10.490,2:09.729,2:12.00,2:11.830,2:09.289,2:12.065
