"06:50PM April 10, 2020",Beenox,kubalok25,Jakub_Luk,Viarus_PL,Krisao_,VitzkyGG,Gojson,Mathis333PL,NadinWins,zigus33,R0G4L1CZ3K
Crash Cove,1:19.740,1:20.048,1:19.381,1:20.713,1:20.181,1:20.348,1:20.713,1:23.050,1:20.984,1:22.282,1:24.116
Mystery Caves,2:00.620,1:59.319,1:58.354,2:04.090,2:01.690,2:01.254,2:01.722,2:04.128,2:05.359,2:05.427,2:03.824
Sewer Speedway,1:47.570,1:46.540,1:52.048,1:50.878,1:48.176,1:47.709,1:48.075,1:52.648,1:51.278,1:51.546,1:52.211
Roo's Tubes,1:16.870,1:17.141,1:16.976,1:18.175,1:16.807,1:16.043,CHEATER,1:16.876,1:18.208,1:17.543,1:16.377
Slide Coliseum,1:40.960,1:43.137,1:42.338,1:45.972,1:40.937,1:48.242,1:48.909,1:40.602,1:49.644,1:49.544,1:51.414
Turbo Track,1:33.520,1:37.666,1:40.870,1:37.130,1:41.101,1:42.170,1:40.895,1:48.678,1:43.038,1:43.872,1:42.303
Coco Park,1:18.270,1:18.747,1:17.529,1:20.413,1:17.745,1:17.813,1:18.446,1:16.711,1:18.212,1:20.348,1:19.781
Tiger Temple,1:30.350,1:36.030,1:32.160,1:37.695,1:34.693,1:31.891,1:32.624,1:34.862,1:42.635,1:38.831,1:36.563
Papu's Pyramid,1:30.520,1:27.889,1:34.432,1:29.325,1:37.435,1:35.597,1:32.326,1:39.169,1:27.658,1:38.568,1:39.235
Dingo Canyon,1:31.490,1:32.160,1:34.063,1:32.893,1:32.282,1:34.296,1:33.293,1:33.628,1:36.830,1:33.628,1:37.200
Polar Pass,2:09.990,2:03.191,2:14.571,2:08.929,2:09.064,2:16.637,2:22.009,2:21.711,2:18.073,2:22.377,2:30.186
Tiny Arena,3:09.320,3:11.493,3:07.189,3:06.087,3:07.322,3:13.595,3:28.809,3:22.404,3:21.503,3:11.827,3:20.469
Dragon Mines,1:19.170,1:26.447,1:27.857,1:24.850,1:20.916,1:26.853,1:25.086,1:30.123,1:25.720,1:27.156,1:30.723
Blizzard Bluff,1:14.070,1:11.104,1:11.506,1:15.242,1:12.606,1:13.508,1:14.842,1:14.542,1:18.981,1:14.176,1:24.517
Hot Air Skyway,2:13.490,2:16.005,2:22.613,2:18.705,2:22.944,2:18.206,2:18.906,2:36.492,2:20.842,2:21.910,2:16.737
Cortex Castle,1:57.440,1:56.017,2:08.698,1:59.453,2:04.859,2:01.021,2:09.664,2:17.204,1:58.986,2:06.828,2:12.201
N.Gin Labs,2:16.240,2:15.46,2:16.40,2:15.30,2:14.002,2:20.110,2:21.544,2:16.608,2:16.337,CHEATER,CHEATER
