"06:11PM April 08, 2020",potbot0,xSephiroth666x,marmero97,przemekratchet89,DIEdaara,Huderlord,Velo,naruciak1234,ZenQMeister,Gracki92,Gustlyk1,Kranczuu,peteer_parker,Kr8osPL,StefekPizza,NICE_PLAYER_PL,platko90,OFF23PL
Crash Cove,1:22.785,1:23.049,1:22.316,1:23.216,1:22.683,1:22.049,1:25.350,1:22.218,1:26.587,1:24.117,1:22.049,1:22.984,1:25.150,1:22.981,1:22.752,1:23.249,1:26.854,1:24.484
Mystery Caves,2:06.765,2:04.324,2:07.430,2:06.129,2:05.728,2:07.898,2:08.360,2:03.924,2:11.265,2:08.700,2:07.198,2:07.499,2:02.290,2:07.693,2:05.196,2:08.091,2:13.954,2:13.935
Sewer Speedway,1:51.613,1:49.575,1:51.546,1:52.011,1:50.844,1:54.148,1:52.580,1:52.713,1:52.714,1:56.052,1:52.280,1:54.250,1:51.578,1:55.815,1:53.150,1:53.445,1:53.647,1:51.579
Roo's Tubes,1:17.178,1:18.007,1:17.776,1:18.442,1:18.609,1:22.983,1:19.170,1:17.809,1:22.182,1:20.346,1:18.809,1:19.678,1:17.742,1:19.110,1:18.878,1:19.143,1:19.980,1:19.044
Slide Coliseum,1:49.112,1:46.607,1:52.081,1:50.510,1:48.543,1:57.219,1:52.640,1:51.947,1:52.147,1:48.410,1:50.378,1:51.177,1:55.548,1:48.574,1:53.750,2:00.055,1:51.714,1:56.851
Turbo Track,1:39.870,1:53.077,1:46.541,1:41.100,1:39.166,1:53.147,1:47.640,1:47.473,1:52.780,1:46.909,1:43.671,1:54.416,1:51.543,1:45.170,1:53.315,2:02.956,1:57.383,2:01.723
Coco Park,1:19.682,1:18.979,1:22.082,1:21.948,1:22.249,1:23.552,1:22.510,1:22.017,1:24.185,1:22.551,1:19.714,1:21.250,1:24.853,1:22.049,1:28.440,1:22.247,1:21.998,1:25.886
Tiger Temple,1:35.365,1:40.331,1:40.199,1:41.599,1:34.628,1:38.966,1:45.340,1:42.568,1:39.86,1:44.973,1:39.396,1:42.968,1:34.027,1:42.736,1:48.143,1:45.103,1:35.963,1:46.372
Papu's Pyramid,1:36.301,1:38.433,1:38.333,1:38.733,1:39.233,1:42.671,1:38.960,CHEATER,1:33.963,1:41.203,1:45.210,1:39.936,1:41.102,1:38.300,1:45.243,1:45.508,1:39.903,1:43.072
Dingo Canyon,1:36.433,1:35.362,1:37.463,CHEATER,1:34.662,1:37.596,1:37.530,CHEATER,1:41.502,1:39.301,1:37.332,1:39.868,1:41.601,1:35.629,1:40.870,1:44.639,1:42.770,1:38.166
Polar Pass,2:29.619,2:20.274,2:29.680,2:24.445,2:26.646,2:23.912,2:30.950,2:24.878,2:42.063,2:42.598,2:31.952,2:26.348,2:43.429,2:44.964,2:33.524,2:45.668,2:41.562,2:44.199
Tiny Arena,3:20.770,3:22.301,3:18.295,3:18.098,3:21.402,3:21.036,3:24.400,3:23.339,3:30.211,3:36.520,3:34.749,3:36.452,3:35.748,3:21.633,3:36.820,3:38.553,3:35.682,3:25.873
Dragon Mines,1:28.357,1:28.888,1:27.752,1:24.417,1:33.226,1:26.887,1:29.720,1:30.355,1:30.658,1:34.529,1:32.428,1:33.793,1:32.592,1:28.688,1:31.930,1:33.897,1:29.120,1:32.726
Blizzard Bluff,1:18.713,1:23.215,1:21.314,1:15.575,1:25.719,1:25.119,1:24.710,1:24.484,1:27.020,1:27.756,1:26.521,1:24.818,1:23.116,1:24.150,1:26.720,1:17.776,1:27.419,1:26.053
Hot Air Skyway,2:25.247,2:26.546,2:23.411,2:28.181,2:43.866,2:46.834,2:28.680,2:49.339,2:35.556,3:02.752,3:01.117,3:05.456,2:56.142,3:06.053,2:27.551,3:05.819,2:43.296,2:54.810
Cortex Castle,2:07.897,2:16.936,2:07.964,2:08.428,2:16.904,2:19.308,2:11.190,2:29.049,2:27.415,2:20.642,2:28.884,2:32.587,2:28.583,2:15.735,2:28.182,2:30.103,2:29.766,2:24.746
N.Gin Labs,2:17.943,2:22.877,2:15.640,CHEATER,2:18.408,2:17.004,2:27.310,CHEATER,2:20.543,2:19.009,2:33.090,2:39.026,2:17.271,2:22.442,2:14.472,2:35.926,2:23.609,2:13.170
Oxide Station,3:08.157,2:50.169,3:08.257,3:03.617,3:14.929,3:16.265,3:13.120,3:14.396,3:16.265,3:19.235,3:22.104,3:18.667,3:22.100,3:26.171,3:12.995,3:27.334,3:24.337,3:20.668
Inferno Island,1:36.064,1:35.159,1:37.098,1:39.466,1:44.069,1:34.159,1:40.030,1:38.232,1:35.797,1:38.196,1:41.802,1:38.400,1:42.332,1:44.437,1:44.756,1:39.881,1:40.530,1:44.806
Jungle Boogie,1:17.877,1:17.611,1:17.812,1:19.710,1:19.412,1:24.686,1:19.870,1:24.318,1:21.314,1:23.450,1:26.304,1:18.947,1:25.651,1:26.685,1:24.919,1:17.674,1:27.120,1:25.619
Clockwork Wumpa,2:07.262,2:12.864,2:06.696,2:07.193,2:13.203,2:22.179,2:07.550,2:14.938,2:15.371,2:14.303,2:19.809,2:14.503,2:21.640,2:19.439,2:13.066,2:23.578,2:19.704,2:18.973
Android Alley,2:38.359,2:41.827,2:38.993,2:39.126,2:53.708,2:43.597,2:41.960,2:37.426,2:40.560,2:40.296,2:47.235,2:38.593,2:47.933,2:52.337,2:43.230,2:52.440,2:47.734,2:39.726
Electron Avenue,3:16.633,3:20.766,CHEATER,3:18.465,3:38.455,3:22.304,3:26.160,3:15.630,3:24.138,3:33.116,3:21.803,3:50.802,3:29.042,3:48.259,3:19.636,3:49.463,3:51.496,3:21.170
Deep Sea Driving,1:50.013,1:46.306,1:49.179,1:46.240,1:58.054,2:02.224,1:50.940,1:54.616,2:01.723,2:05.429,2:05.227,2:03.291,2:04.190,2:01.990,1:59.654,2:00.022,2:00.454,2:02.892
Thunder Struck,2:30.853,2:42.961,CHEATER,2:33.820,2:27.782,2:47.767,2:37.220,2:50.902,2:35.22,2:38.661,2:45.902,2:30.386,2:51.036,2:57.443,CHEATER,2:57.677,2:53.306,2:55.377
Tiny Temple,1:42.973,1:43.235,1:43.270,1:44.004,1:43.605,1:43.571,1:44.100,1:43.271,1:43.502,1:47.542,1:44.873,1:43.872,1:44.437,1:46.374,1:45.242,1:47.510,1:46.557,1:43.937
Meteor Gorge,1:24.254,1:28.855,1:29.522,1:30.223,1:31.025,1:31.759,1:31.590,1:31.925,1:29.456,1:31.160,1:34.228,1:29.223,1:38.665,1:36.829,1:36.432,1:31.290,1:37.999,1:33.027
Barin Ruins,1:47.092,1:47.406,1:48.744,1:48.741,1:51.711,1:52.546,1:49.210,1:49.910,1:48.007,1:48.811,1:51.447,1:47.375,1:52.912,1:54.415,1:53.446,1:48.704,1:50.178,1:51.345
Out of Time,2:06.263,2:11.597,2:04.493,2:06.492,2:21.341,2:27.915,2:07.050,2:26.683,2:16.337,2:21.108,2:25.380,2:22.076,2:28.714,2:37.723,2:37.422,2:29.884,2:34.387,2:28.382
Assembly Lane,2:35.223,2:40.828,2:45.669,2:39.961,2:52.643,2:43.733,2:48.640,2:55.078,2:44.502,2:41.298,2:45.669,2:46.136,2:51.738,2:53.975,2:55.613,2:58.415,2:59.948,2:54.242
Hyper Spaceway,2:00.689,2:03.489,2:02.591,1:57.851,2:17.271,2:17.639,2:08.729,2:30.149,1:58.453,2:13.069,2:15.302,2:22.578,2:25.112,2:34.886,2:24.710,2:36.458,2:01.989,2:17.838
Twilight Tour,2:21.312,2:31.818,2:19.341,2:19.107,2:24.580,2:34.223,2:23.980,2:28.017,2:25.779,2:18.010,2:27.917,2:28.050,2:41.026,3:00.347,2:20.379,2:32.055,2:24.314,2:35.358
Prehistoric Playground,2:27.183,2:30.717,2:28.884,2:29.816,2:39.792,2:24.512,2:33.850,2:38.395,2:28.280,2:35.224,2:38.327,2:37.126,2:29.984,3:06.686,2:38.861,2:40.226,2:32.986,2:49.836
Spyro Circuit,2:15.906,2:15.837,2:15.103,2:16.770,2:19.508,2:18.372,2:17.000,2:17.807,2:18.874,2:19.776,2:19.274,2:18.507,2:30.317,2:38.623,2:34.258,2:20.476,2:17.773,2:24.446
Nina's Nightmare,1:53.813,1:52.679,1:51.778,1:53.212,1:54.248,1:56.551,1:53.980,1:57.986,1:54.881,1:56.918,1:57.384,2:10.898,2:15.968,2:05.992,2:04.862,1:58.283,1:54.615,2:04.592
Koala Carnival,1:43.105,1:42.769,1:43.271,1:43.939,1:47.776,1:48.677,1:44.330,1:47.406,1:46.642,1:43.774,1:47.309,1:46.442,1:44.739,1:44.706,1:45.911,1:43.204,1:44.906,1:49.310
Gingerbread Joyride,1:58.420,1:59.119,1:57.453,1:58.618,2:01.623,2:11.367,1:59.690,2:03.126,2:03.324,2:00.490,2:03.559,2:13.735,2:21.807,2:47.868,2:02.826,2:19.843,2:04.088,2:17.838
Megamix Mania,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,2:11.430,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME
Drive-Thru Danger,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,2:11.830,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME
Gold Medals,6,7,6,5,3,2,2,2,1,1,1,0,2,0,0,0,0,1
Silver Medals,10,7,2,4,4,3,0,1,1,1,0,2,1,0,1,2,0,0
Bronze Medals,8,4,8,7,1,0,0,1,2,2,1,2,0,2,0,1,0,0
Total Points,238,191,182,174,110,77,73,63,60,58,48,48,44,43,40,28,24,20
Total Points In Platinum Tier (20p to advance),19,16,16,13,17,9,16,3,3,4,0,0,6,0,6,2,0,10
Total Time,84:25.101,85:24.793,89:07.977,90:49.203,87:37.250,88:24.375,81:09.299,97:42.324,87:39.075,88:46.233,89:25.633,89:52.113,90:51.657,92:46.906,91:47.153,92:06.594,90:09.040,90:42.071
""
POINT SYSTEM,,,,,ANNOUNCEMENTS
1st,1:00.00,10p,,,Oxide HAS ASCENDED TO Gold Tier!
2nd,1:00.00,8p,,,MEDYK-POLSKA HAS ASCENDED TO Gold Tier!
3rd,1:00.00,6p,,,DIEdaara entered the Gold Tier
4th,1:00.00,5p,,,DIEdaara entered the Gold Tier
5th,1:00.00,4p,,,Velo entered the Gold Tier
6th,1:00.00,3p,,,Velo entered the Gold Tier
7th,1:00.00,2p,,,platko90 gets SILVER medal on Hyper Spaceway!
8th,1:00.00,1p,,,Kr8osPL gets GOLD medal on Cortex Castle!
>8th,1:00.00,0p,,,Kr8osPL gets BRONZE medal on Koala Carnival!
