"06:50PM April 10, 2020",BastianDNG,TyczekPL,ZajebistyMarcin,MEDYK-POLSKA,crashb1908mufc,LsdTrip93PL,TendoFic,siarkowy7,Oxide,dnsgpa,N. Tropy,KAAIM!,Madz910111,cthulhuburi
Crash Cove,1:25.217,1:22.782,1:26.885,1:23.284,1:26.885,1:23.182,1:25.018,1:27.121,1:27.520,1:25.486,1:34.860,1:33.033,NO TIME,NO TIME
Mystery Caves,2:06.928,2:07.595,2:08.796,2:05.825,2:12.067,2:08.595,2:11.867,2:14.003,2:14.000,2:09.798,2:24.450,2:22.899,NO TIME,NO TIME
Sewer Speedway,1:54.815,1:52.145,1:53.244,1:52.379,1:53.781,1:51.744,1:55.382,1:54.783,1:56.180,2:09.432,2:13.700,2:10.532,NO TIME,NO TIME
Roo's Tubes,1:20.677,1:19.110,1:21.177,1:19.043,1:19.508,1:19.579,1:21.146,1:23.313,1:23.650,1:28.786,1:34.190,1:31.266,NO TIME,NO TIME
Slide Coliseum,2:00.390,1:52.346,1:53.279,1:52.179,1:59.353,1:56.315,1:56.852,2:00.722,2:00.880,2:08.197,2:08.490,2:08.266,NO TIME,NO TIME
Turbo Track,1:48.676,1:52.311,1:54.379,1:52.012,2:04.257,1:57.483,2:05.426,2:04.325,2:06.350,2:08.296,2:18.540,2:12.099,NO TIME,NO TIME
Coco Park,1:25.050,1:22.012,1:25.117,1:26.952,1:23.117,1:20.479,1:24.352,1:24.417,1:29.350,1:27.622,1:37.530,1:36.701,NO TIME,NO TIME
Tiger Temple,1:46.773,1:44.836,1:46.471,1:41.700,1:46.437,1:41.200,1:48.343,1:50.744,1:55.910,1:53.380,2:02.750,1:54.466,NO TIME,NO TIME
Papu's Pyramid,1:44.941,1:42.937,1:41.836,1:46.208,1:43.363,1:40.800,1:43.305,1:44.974,1:46.240,1:55.117,1:59.880,1:57.266,NO TIME,NO TIME
Dingo Canyon,1:41.404,1:36.029,1:41.633,1:41.235,1:44.237,1:42.302,1:36.896,1:41.403,1:45.470,1:47.176,1:48.540,1:48.466,NO TIME,NO TIME
Polar Pass,2:44.832,2:40.259,2:40.157,2:40.662,2:43.264,2:42.261,2:43.064,2:44.198,2:46.970,2:53.343,3:00.580,2:59.062,NO TIME,NO TIME
Tiny Arena,3:28.306,3:38.551,3:30.707,3:27.541,3:29.477,3:39.948,3:31.281,3:42.224,3:43.220,3:47.062,3:51.430,3:46.733,NO TIME,NO TIME
Dragon Mines,1:30.893,1:34.227,1:34.627,1:33.194,1:34.460,1:34.060,1:33.828,1:33.776,1:34.620,1:44.539,1:45.540,1:45.166,NO TIME,NO TIME
Blizzard Bluff,1:27.054,1:27.520,1:27.919,1:27.621,1:26.685,1:18.344,1:25.953,1:27.487,1:28.190,1:36.431,1:37.230,1:33.366,NO TIME,NO TIME
Hot Air Skyway,2:50.041,2:55.408,2:36.687,3:04.585,2:52.041,3:05.785,2:49.738,2:57.513,3:09.890,2:58.915,3:21.430,3:19.399,NO TIME,NO TIME
Cortex Castle,2:24.247,2:30.050,2:22.006,2:31.452,2:25.046,2:33.419,2:23.643,2:25.247,2:36.090,2:28.183,2:40.390,2:35.433,NO TIME,NO TIME
N.Gin Labs,2:27.215,2:24.946,2:31.048,CHEATER,2:30.684,2:30.783,2:20.107,2:39.127,2:39.650,2:47.468,2:51.540,2:46.199,NO TIME,NO TIME
Oxide Station,3:11.825,3:25.203,3:25.136,3:21.368,3:25.774,3:23.402,3:23.104,3:22.937,3:27.670,3:29.710,3:30.140,3:26.799,NO TIME,NO TIME
Inferno Island,1:44.271,1:45.306,1:41.696,1:43.837,1:44.501,1:46.405,1:45.138,1:42.768,1:46.470,1:47.208,1:54.410,1:50.433,NO TIME,NO TIME
Jungle Boogie,1:24.751,1:24.350,1:21.846,1:26.418,1:26.117,1:26.285,1:25.986,1:22.244,1:27.380,1:33.125,1:33.890,1:28.899,NO TIME,NO TIME
Clockwork Wumpa,2:22.967,2:21.875,2:20.942,2:20.174,2:18.307,2:20.306,2:21.276,2:23.312,2:23.970,2:39.494,2:40.090,2:31.766,NO TIME,NO TIME
Android Alley,2:43.194,2:49.036,2:52.136,2:54.741,2:53.673,2:52.471,2:53.141,2:41.129,2:58.470,2:54.876,3:17.590,3:08.699,NO TIME,NO TIME
Electron Avenue,3:24.305,3:37.217,3:48.226,3:39.353,3:41.021,3:45.191,3:44.527,3:42.357,3:52.230,4:05.348,4:13.520,4:04.664,NO TIME,NO TIME
Deep Sea Driving,2:03.391,2:04.924,1:59.053,1:56.151,2:02.490,2:04.891,2:04.458,2:05.592,2:05.960,2:19.041,2:22.900,2:14.099,NO TIME,NO TIME
Thunder Struck,2:35.689,2:47.400,2:44.030,2:47.669,2:39.326,2:52.772,CHEATER,2:51.675,2:58.680,2:55.809,3:04.180,2:58.566,NO TIME,NO TIME
Tiny Temple,1:45.939,1:47.541,1:47.674,1:46.640,1:44.471,1:43.636,1:44.572,1:44.806,1:47.710,2:06.527,2:06.890,2:02.899,NO TIME,NO TIME
Meteor Gorge,1:37.197,1:36.163,1:34.025,1:34.595,1:32.459,1:37.697,1:33.862,1:34.196,1:39.000,1:45.273,1:45.560,1:39.833,NO TIME,NO TIME
Barin Ruins,1:52.980,1:54.515,1:52.776,1:53.948,1:52.445,1:54.346,1:52.047,1:53.413,1:55.210,2:01.056,2:07.790,2:04.427,NO TIME,NO TIME
Out of Time,2:21.934,2:37.691,2:26.111,2:29.083,2:34.754,2:37.657,2:36.025,2:30.417,2:40.090,2:56.078,3:00.050,2:56.799,NO TIME,NO TIME
Assembly Lane,2:47.570,2:52.106,2:46.200,2:50.973,2:52.609,2:54.073,2:54.409,2:54.510,3:00.410,3:06.958,3:08.760,3:03.799,NO TIME,NO TIME
Hyper Spaceway,2:16.797,2:28.216,2:27.714,2:30.351,2:29.283,2:36.622,2:36.658,2:38.391,2:40.790,2:54.911,3:00.910,2:54.466,NO TIME,NO TIME
Twilight Tour,2:33.845,2:34.222,2:32.184,2:45.768,2:35.457,2:30.950,3:17.530,3:19.733,2:34.220,2:40.496,2:44.230,NO TIME,NO TIME,NO TIME
Prehistoric Playground,2:36.957,2:38.990,2:32.318,2:53.005,2:49.939,2:55.274,2:57.110,3:44.726,2:41.360,2:54.075,3:00.080,NO TIME,NO TIME,NO TIME
Spyro Circuit,2:21.109,2:17.704,2:18.170,2:30.152,2:29.185,2:23.943,2:29.350,2:54.944,2:20.540,2:31.989,2:33.090,NO TIME,NO TIME,NO TIME
Nina's Nightmare,2:02.221,1:57.683,2:06.058,2:14.266,2:12.567,NO TIME,2:18.270,2:35.122,1:58.310,2:07.262,2:17.000,NO TIME,NO TIME,NO TIME
Koala Carnival,1:46.906,1:45.473,1:52.580,1:47.676,1:45.641,NO TIME,1:54.749,2:05.027,1:49.780,1:48.911,2:08.800,NO TIME,NO TIME,NO TIME
Gingerbread Joyride,2:10.499,2:03.891,2:22.675,2:36.223,2:51.175,NO TIME,3:07.220,2:59.850,2:03.890,2:23.711,2:28.480,NO TIME,NO TIME,NO TIME
Megamix Mania,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,2:17.340,NO TIME,2:33.080,NO TIME,NO TIME,NO TIME
Drive-Thru Danger,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,NO TIME,2:20.160,NO TIME,2:50.100,NO TIME,NO TIME,NO TIME
Gold Medals,7,5,7,5,2,7,2,1,3,0,0,0,0,0
Silver Medals,5,8,6,5,4,1,5,2,1,0,2,0,0,0
Bronze Medals,9,8,4,8,5,1,1,2,1,0,0,0,0,0
Total Points,228,207,205,183,166,162,145,103,59,28,21,10,4,0
Total Points In Gold Tier (20p to advance),17,11,2,5,0,14,3,0,16,0,12,10,4,0
Total Time,89:51.806,90:52.569,90:47.517,94:48.263,92:35.856,101:12.200,96:15.632,96:22.526,88:53.820,97:51.089,97:12.609,114:26.499,195:00.000,195:00.000
""
POINT SYSTEM,,,,,ANNOUNCEMENTS
1st,1:00.00,10p,,,MEDYK-POLSKA entered the Sapphire Tier
2nd,1:00.00,8p,,,MEDYK-POLSKA entered the Sapphire Tier
3rd,1:00.00,6p,,,Oxide entered the Sapphire Tier
4th,1:00.00,5p,,,N. Tropy entered the Sapphire Tier
